date,alpha,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_normal,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_normal_broad,w_normal_satellite,w_normal_fi,w_normal_safe,w_normal_cash,w_event_broad,w_event_satellite,w_event_fi,w_event_safe,w_event_cash,w_fused_broad,w_fused_satellite,w_fused_fi,w_fused_safe,w_fused_cash
2021-01-01,0.6,19.933520084619524,11.72562026977539,bull_normal,60.5,64.3,50.75,0.009430650655586544,0.009430650655586544,0.0,0.009430650646155891,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2021-01-08,0.7,19.8660130918026,11.150801658630371,bull_normal,58.5,60.5,47.25,0.007228603952611971,0.007506434423980392,0.0002778304713684206,0.00742308527514678,1.0,0.2,0.2,0.2,0.2,0.2,0.21503473463371064,0.21861924567780255,0.18459338038448028,0.23175263930400647,0.15,0.21052431403307315,0.21303347176142828,0.18921536607992082,0.22222684729057765,0.164999999835
2021-01-15,0.7999999999999999,19.80993846058846,18.64406967163086,bull_normal,58.1,59.6,49.599999999999994,0.0013282724158093218,0.0018251305607352706,0.0004968581449259488,0.001725758930024322,1.0,0.2,0.2,0.2,0.2,0.2,0.1713018222079828,0.17171213681701966,0.34312484150447936,0.16386119947051825,0.15,0.17704145758934475,0.17736970927624598,0.3144998728890836,0.17108895940532562,0.15999999984
2021-01-22,0.8999999999999999,19.750122421979906,17.28256607055664,bull_normal,58.220000000000006,58.120000000000005,50.25,-0.005061269393529692,-0.001648305609065001,0.003412963784464691,-0.001989601985521868,1.0,0.2,0.2,0.2,0.2,0.2,0.20359434482182284,0.2099058945750916,0.19660430611829832,0.3,0.08989545448478721,0.20323491013640563,0.2089153049086671,0.19694387530952462,0.28999999970999996,0.10090590893540258
2021-01-29,0.9999999999999999,19.69891214966774,20.938508987426758,event_stress,53.5,52.5,47.25,-0.008315541471694176,-0.00797147814930595,0.00034406332238822585,-0.007971478141334472,0.9956609749132875,0.2,0.2,0.2,0.2,0.2,0.16626100008045683,0.1622171648177143,0.27273781527027413,0.24878401983155476,0.15,0.16626099991419582,0.16221716465549713,0.27273781499753624,0.24878401958277072,0.14999999984999998
2021-02-05,1.0,19.62703911662102,9.665470123291016,bull_normal,56.0,52.5,49.75,-0.0006457806150114041,-0.0008894246738078445,-0.00024364405879644037,-0.0008894246729184198,0.9687404329259692,0.1,0.05,0.5,0.2,0.15,0.16059446737678906,0.16560440181391073,0.2238011308093002,0.3,0.15,0.16059446721619458,0.1656044016483063,0.22380113058549905,0.29999999969999996,0.14999999984999998
2021-02-12,1.0,19.555371057987216,10.595335960388184,bull_normal,57.5,59.5,39.0,0.00649456144526117,0.006005355887753941,-0.0004892055575072291,0.006005355881748583,1.0,0.2,0.2,0.2,0.2,0.2,0.22168071466486125,0.21908612201013491,0.37127735985615984,0.0924753514607156,0.09548045200812844,0.22168071444318052,0.21908612179104878,0.37127735948488244,0.09247535136824024,0.09548045191264798
2021-02-19,1.0,19.485803759098054,12.112592697143555,bull_normal,57.529999999999994,59.470000000000006,41.045,0.0024153225865924076,0.00679799832413786,0.004382675737545453,0.006797998317339859,1.0,0.2,0.2,0.2,0.2,0.2,0.3121147926716153,0.3121147926716153,0.11692701508053799,0.14053186411004567,0.11831153546618572,0.31211479235950046,0.31211479235950046,0.11692701496361096,0.1405318639695138,0.11831153534787418
2021-02-26,1.0,19.42106803059578,14.848400115966797,bull_normal,55.879999999999995,56.42999999999999,43.125,-0.01160866118949813,-0.007021908151011392,0.004586753038486738,-0.007021908143989483,1.0,0.2,0.2,0.2,0.2,0.2,0.1242574414383257,0.12607009086977955,0.380133472667181,0.21953899502471375,0.15,0.12425744131406825,0.12607009074370945,0.3801334722870475,0.21953899480517472,0.14999999984999998
2021-03-05,1.0,19.350597929954528,11.65086555480957,bull_normal,58.0,57.3,40.75,-0.00498521502670325,-0.0036583768660763995,0.0013268381606268507,-0.0036583768624180234,1.0,0.2,0.2,0.2,0.2,0.2,0.18689943452690594,0.19028612356229857,0.278961087871747,0.20149048792651866,0.14236286611252968,0.18689943434000653,0.19028612337201248,0.27896108759278593,0.2014904877250282,0.14236286597016684
2021-03-12,1.0,19.291750538349152,19.23153305053711,bull_normal,58.3,55.9,44.0,-0.006752125040637251,-0.005510186431981408,0.0012419386086558425,-0.005510186426471221,0.996968102427137,0.2,0.2,0.2,0.2,0.2,0.1970669497810457,0.19681462165289068,0.2049616051188638,0.25115682344719986,0.15,0.19706694958397872,0.19681462145607603,0.20496160491390217,0.25115682319604304,0.14999999984999998
2021-03-19,1.0,19.230737549066543,18.381820678710938,bull_normal,59.3,59.8,43.75,-0.0023195541122752266,-0.0028731551486366404,-0.0005536010363614138,-0.002873155145763485,0.9689147819602629,0.2,0.2,0.2,0.2,0.2,0.13906268434950733,0.1382640613214635,0.4506177137267193,0.2303420002541738,0.04171354034813604,0.13906268421044463,0.13826406118319942,0.45061771327610156,0.2303420000238318,0.0417135403064225
2021-03-26,1.0,19.17224705815315,19.139707565307617,bull_normal,57.5,56.0,45.25,0.0024728507536101777,0.0021965068170106397,-0.000276343936599538,0.002196506814814133,0.9408497943121217,0.2,0.2,0.2,0.2,0.2,0.14792053491260168,0.15117750064921168,0.31290244036004794,0.2379995240781388,0.15,0.14792053476468114,0.15117750049803416,0.31290244004714546,0.23799952384013925,0.14999999984999998
2021-04-02,1.0,19.100033211708066,8.678933143615723,bull_normal,53.0,54.0,43.75,0.005148778988437524,0.005329258301114762,0.00018047931267723815,0.0053292582957855045,0.7847656432765072,0.2,0.2,0.2,0.2,0.2,0.20218479300800948,0.20372833382782293,0.26891454320820984,0.21063425177616202,0.11453807817979576,0.2021847928058247,0.2037283336240946,0.2689145429392953,0.21063425156552776,0.11453807806525768
2021-04-09,1.0,19.023524236679073,4.77430534362793,bull_normal,52.0,54.8,40.25,-0.0016590296203344982,-0.0012451135334215111,0.0004139160869129871,-0.0012451135321763975,0.8019289606853681,0.2,0.2,0.2,0.2,0.2,0.1732627047415877,0.17790778010649913,0.2783691148142519,0.22046040033766123,0.15000000000000002,0.173262704568325,0.17790777992859133,0.27836911453588276,0.2204604001172008,0.14999999985
2021-04-16,1.0,18.94498275518417,3.9492101669311523,bull_normal,55.7,53.8,47.25,-0.0006714577129161358,-0.0007192137908095085,-4.775607789337267e-05,-0.0007192137900902945,0.8322886035705997,0.2,0.2,0.2,0.2,0.2,0.22395405659223414,0.2237435235676608,0.2160266931099824,0.18627572673012271,0.15,0.22395405636828006,0.22374352334391726,0.21602669289395568,0.18627572654384697,0.14999999984999998
2021-04-23,1.0,18.86963367462158,5.882108211517334,bull_normal,53.0,51.5,41.75,0.008365303571213822,0.008224053784760372,-0.00014124978645345052,0.008224053776536318,0.7368898024533649,0.2,0.2,0.2,0.2,0.2,0.17481130832858674,0.17550704185791877,0.3827118943893692,0.1698499793387115,0.09711977608541372,0.1748113081537754,0.1755070416824117,0.3827118940066573,0.1698499791688615,0.09711977598829394
2021-04-30,1.0,18.795166242122647,6.945184230804443,bull_normal,53.5,56.0,46.75,-0.004983867433592355,-0.004399270064078557,0.0005845973695137981,-0.004399270059679287,0.6208712988830954,0.2,0.2,0.2,0.2,0.2,0.24577637046878395,0.2508229477140015,0.1671020880050055,0.19786468253674103,0.13843391127546803,0.24577637022300755,0.2508229474631785,0.1671020878379034,0.19786468233887633,0.1384339111370341
2021-05-07,1.0,18.724452239274974,9.664274215698242,bull_normal,53.05,54.55,49.25,-0.0008315439033253855,-0.0066847689792256,-0.005853225075900214,-0.006684768972540831,0.6858972429377505,0.2,0.2,0.2,0.2,0.2,0.48778140300744843,0.45,0.062218596992551514,5.421010862427522e-20,5.421010862427522e-20,0.487781402519667,0.44999999955,0.06221859693033291,5.421010857006511e-20,5.421010857006511e-20
