date,NAV,alpha,tau,regret_ema_norm,week_return,max_drawdown,w_fused
2021-01-01,1.0081959127548672,1.0,20.0,1.0,0.008195912754867146,0.0,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-01-08,1.0170452746835998,1.0,20.0,1.0,0.008777422936135424,0.0,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-01-15,1.0164244225506933,1.0,20.0,1.0,-0.0006104468978529808,0.0006104468978528706,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-01-22,1.015131667732517,1.0,20.0,0.9451594693950945,-0.0012718651672420026,0.0018815356589490064,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-01-29,1.0045185978458635,1.0,20.0,1.0,-0.010454870263637651,0.012316734711375907,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-02-05,1.0066352137859031,1.0,20.0,0.9024195909962972,0.002107094825898247,0.010235592413459898,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-02-12,1.0142943229549473,1.0,20.0,0.9672668007054084,0.007608624320063964,0.0027048468707633476,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-02-19,1.0205050200388575,1.0,20.0,1.0,0.006123170507172429,0.0,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-02-26,1.0063020095527855,1.0,20.0,1.0,-0.01391762922002193,0.013917629220022036,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-03-05,1.0039468589873977,1.0,20.0,1.0,-0.002340401333824651,0.016225457715856526,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-03-12,0.9979706818759569,1.0,20.0,1.0,-0.005952682712179113,0.02208155542639318,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-03-19,0.9926613955648861,1.0,20.0,1.0,-0.005320082450809711,0.027284162181692335,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-03-26,0.9942089713616789,1.0,20.0,0.971161443609183,0.0015590168044281498,0.02576768184460018,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-04-02,0.9998832283676798,1.0,20.0,0.8017248560323235,0.0057073081911838425,0.02020743775507582,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-04-09,0.9965505120210119,1.0,20.0,0.8569167678782733,-0.003333105558844801,0.023473189790809153,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-04-16,0.996128186852319,1.0,20.0,0.9053312712834216,-0.0004237870169134016,0.023887029174643654,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-04-23,1.004634066301787,1.0,20.0,0.7935187302711331,0.008538940632074617,0.015552058466568021,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-04-30,1.0012079238117906,1.0,20.0,0.6587440396713364,-0.003410338754098384,0.018909359432971833,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-05-07,0.9989816026882885,1.0,20.0,0.7367792502951216,-0.0022236351416656435,0.02109094705849601,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-05-14,1.0028321973827288,1.0,20.0,0.6320116780239631,0.0038545201273757564,0.017317722411062476,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-05-21,1.0068699392398412,1.0,20.0,0.724316791973597,0.0040263384718305616,0.013361110951220043,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-05-28,1.0106395070380152,1.0,20.0,0.7024068837464202,0.003743847791324217,0.009667285125620075,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-06-04,1.0068578952129308,1.0,20.0,0.6085575949726748,-0.0037418009079890477,0.013372912977348248,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-06-11,1.0035802409311236,1.0,20.0,0.7151599233145767,-0.0032553295727138624,0.01658470931097368,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-06-18,0.9947280782985743,1.0,20.0,0.7943489331431233,-0.008820582820897557,0.025259005329833273,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-06-25,0.9994740880401682,1.0,20.0,0.6832378385500605,0.004771162939033237,0.020608357220906596,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-07-02,0.9983289023343478,1.0,20.0,1.0,-0.0011457882895853045,0.021730532696120665,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-07-09,1.000529410043919,1.0,20.0,0.9483453250942484,0.002204191128220316,0.019574239815280683,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-07-16,1.003480352962733,1.0,20.0,0.7962591561106823,0.002949381486631478,0.016682590229175204,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-07-23,1.0043090083404351,1.0,20.0,0.7425323615096906,0.0008257813670746678,0.015870585034266308,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-07-30,0.9978153914152516,1.0,20.0,0.9155054630941628,-0.006465755928958482,0.02223372563394344,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-08-06,1.0022114428197544,1.0,20.0,0.8003901743635284,0.004405676082294,0.017926004144895355,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-08-13,1.0001246445936576,1.0,20.0,0.7642684381670651,-0.0020821935740680643,0.01997087230832423,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-08-20,0.9960907484000989,1.0,20.0,0.8762360715053592,-0.004033393452870736,0.023923715375578376,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-08-27,0.9944747578523724,1.0,20.0,0.8115380406431351,-0.0016223326542507419,0.02550723580516432,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-09-03,0.9975077737762732,1.0,20.0,0.7351007875374734,0.0030498671785805327,0.022535162307882228,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-09-10,1.000453977244835,1.0,20.0,0.751134888158129,0.002953564419260985,0.019648156942196023,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-09-17,0.9903415667989206,1.0,20.0,0.8907849613757963,-0.010107821724856554,0.029557378599458853,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-09-24,0.9890228287196366,1.0,20.0,0.7809971458247269,-0.0013315992416096409,0.030849619258141496,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-10-01,0.9906164419357135,1.0,20.0,0.766419544074901,0.001611300740287183,0.029288026532202534,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-10-08,0.9934167622801592,1.0,20.0,0.6545866593426721,0.0028268462200907625,0.026543973059208317,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-10-15,0.9887026301923829,1.0,20.0,0.7459449185958403,-0.004745371999719458,0.03116338403241134,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-10-22,0.985331284742823,1.0,20.0,0.6834912478985158,-0.0034098679892294267,0.0344669889959925,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-10-29,0.9842716066072669,1.0,20.0,0.6608273182079466,-0.0010754536590531867,0.03550537500561334,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-11-05,0.9842163186501839,1.0,20.0,0.7158389332455528,-5.6171443646159355e-05,0.035559552061088164,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-11-12,0.9872044279023409,1.0,20.0,0.8115263893804641,0.0030360289659239086,0.032631482925236974,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-11-19,0.9883395654640421,1.0,20.0,0.7199082227285292,0.0011498505574101116,0.03151915369665755,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-11-26,0.9894332922956514,1.0,20.0,0.8027934206006314,0.00110663062557434,0.03044740313185622,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-12-03,0.9843205458350539,1.0,20.0,0.8062021347961599,-0.00516734831990044,0.03545741911433788,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
2021-12-10,0.9927803638467586,1.0,20.0,0.7106988981318303,0.008594576276499115,0.02716758433098466,[0.349375  0.188125  0.2936875 0.1040625 0.06475  ]
