date,code,weight
2015-01-02,000300.SH,0.1999999998
2015-01-02,000852.SH,0.1999999998
2015-01-02,CBA02701.CS,0.1999999998
2015-01-02,AU9999.SGE,0.1999999998
2015-01-02,NH0100.NHF,0.1999999998
2015-01-09,000300.SH,0.1999999998
2015-01-09,000852.SH,0.1999999998
2015-01-09,CBA02701.CS,0.1999999998
2015-01-09,AU9999.SGE,0.1999999998
2015-01-09,NH0100.NHF,0.1999999998
2015-01-16,000300.SH,0.1999999998
2015-01-16,000852.SH,0.1999999998
2015-01-16,CBA02701.CS,0.1999999998
2015-01-16,AU9999.SGE,0.1999999998
2015-01-16,NH0100.NHF,0.1999999998
2015-01-23,000300.SH,0.1999999998
2015-01-23,000852.SH,0.1999999998
2015-01-23,CBA02701.CS,0.1999999998
2015-01-23,AU9999.SGE,0.1999999998
2015-01-23,NH0100.NHF,0.1999999998
2015-01-30,000300.SH,0.1999999998
2015-01-30,000852.SH,0.1999999998
2015-01-30,CBA02701.CS,0.1999999998
2015-01-30,AU9999.SGE,0.1999999998
2015-01-30,NH0100.NHF,0.1999999998
2015-02-06,000300.SH,0.1999999998
2015-02-06,000852.SH,0.1999999998
2015-02-06,CBA02701.CS,0.1999999998
2015-02-06,AU9999.SGE,0.1999999998
2015-02-06,NH0100.NHF,0.1999999998
2015-02-13,000300.SH,0.1999999998
2015-02-13,000852.SH,0.1999999998
2015-02-13,CBA02701.CS,0.1999999998
2015-02-13,AU9999.SGE,0.1999999998
2015-02-13,NH0100.NHF,0.1999999998
2015-02-20,000300.SH,0.1999999998
2015-02-20,000852.SH,0.1999999998
2015-02-20,CBA02701.CS,0.1999999998
2015-02-20,AU9999.SGE,0.1999999998
2015-02-20,NH0100.NHF,0.1999999998
2015-02-27,000300.SH,0.1999999998
2015-02-27,000852.SH,0.1999999998
2015-02-27,CBA02701.CS,0.1999999998
2015-02-27,AU9999.SGE,0.1999999998
2015-02-27,NH0100.NHF,0.1999999998
2015-03-06,000300.SH,0.1999999998
2015-03-06,000852.SH,0.1999999998
2015-03-06,CBA02701.CS,0.1999999998
2015-03-06,AU9999.SGE,0.1999999998
2015-03-06,NH0100.NHF,0.1999999998
2015-03-13,000300.SH,0.1999999998
2015-03-13,000852.SH,0.1999999998
2015-03-13,CBA02701.CS,0.1999999998
2015-03-13,AU9999.SGE,0.1999999998
2015-03-13,NH0100.NHF,0.1999999998
2015-03-20,000300.SH,0.1999999998
2015-03-20,000852.SH,0.1999999998
2015-03-20,CBA02701.CS,0.1999999998
